name,qid,gender
Nicola Serino,Q3876360,male
Niccolò Amenta,Q3875827,male
Niccolò Biancolelli,,
Andrea Baiano,,
Anton Giulio Brignole Sale,Q2856998,male
Simone Tuballino,,
Rocco Maria Rossi,,
Antonino Salamoni,,
Ludovico Ariosto,Q48900,male
Girolamo Berardo,,
Dionisio Rondinelli,,
Girolamo Gentile,,
Francesco Caccianiga,,
Francesco Angelita,,
Cintio Laurelio,,
Giovanni Battista Martini,Q283651,male
Francesco Suppa,,
Francesco Belli,,
Girolamo Allè,Q113716100,male
Antonio Spezzani,,
Ruggiero Fedeli,Q18397297,male
Lucillo Brammini,,
Giorgio Busti,Q55226153,male
Alessandro Donzellini,Q27831940,male
Giovanni Antonio Ansaldo,,
Francesco Dispensa,,
Sicco Polenton,Q3960051,male
Camillo Scaligeri,,
Anton Maria Salvini,Q349065,male
Andrea Belmuro,,
Antonio Borosini,Q22351200,male
Giambattista Duranti,,
Giambatista Pasca,,
Luigi Tansillo,Q707853,male
Gianfrancesco Tranquillo,,
Pompeo Cadonici,,
Annibale Lomeri,,
Orlando Rubini,,
Agostino Lampugnani,Q21541854,male
Giuseppe Busti,,
Cherubina Venturella,,
Pietro Bonarelli della Rovere,Q109780821,male
Vincenzo Pandolfo,,
Giacomo Sinibaldi,Q110215160,male
Cornelio Malvasia,,
Cristoforo Lauro,,
"Francesco Scipione, marchese di Maffei",Q1587432,male
Orlando Pescetti,Q23072500,male
Pietro Paolo Carrara,Q40002948,male
Dario Varotari the Younger,Q1750304,male
Luca Contile,Q3838086,male
Francesco Antonio Novi,Q61627882,male
Attilio Baladorio,,
Fabbio Panazi,,
Pietro Piperno,Q18219689,male
Gerardo Ansaldi,Q124339464,male
Giovan Battista Ricciardi,Q55769135,male
Marco Largi,,
Pompeo di Montevecchio,Q96595379,male
Marco Morosini,Q3846300,male
Giovanni Claudio Pasquini,Q21036554,male
Agostino Michieli,,
Francesco Raù,,
Pierantonio Legacci,Q110164286,male
Andrea Valfrè di Bora,,
Giovanni Giacomo Alborghetti,,
Paolo Rossi,,
